"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2,U1";"SOIC-8_7.5x5.85mm_P1.27mm";2;"AMC23C10";;;
2;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7k";;;
3;"D5,D4,D3,D1,D2";"D_SOD-323F";5;"1SS355VM";;;
4;"C5,C4,C11,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
5;"L1";"L_Bourns_SDR0805";1;"3.3mH";;;
6;"C9,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1nF";;;
7;"C6,C13,C3,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
8;"H3,H4,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
9;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"160k";;;
10;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"20nF";;;
11;"R5,R7,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10";;;
12;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
13;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"150";;;
14;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"SNITCH IN";;;
15;"C2,C1";"CP_Elec_13.7x13";2;"220uF";;;
16;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22k";;;
17;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"To Pico";;;
